index,path,folder,description,prompt,filename
1,homepage,images/homepage,PC Plus Computing homepage - full-service IT company in Vancouver BC,"Professional photo representing homepage - PC Plus Computing homepage - full-service IT company in Vancouver BC by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/homepage/hero.png
2,about,images/about,About PC Plus Computing - IT professionals team in Vancouver,"Professional photo representing about - About PC Plus Computing - IT professionals team in Vancouver by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/about/hero.png
3,appointments,images/appointments,Book an appointment for computer repair or IT support,"Professional photo representing appointments - Book an appointment for computer repair or IT support by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/appointments/hero.png
4,contact-us,images/contact-us,Contact PC Plus Computing for IT services,"Professional photo representing contact us - Contact PC Plus Computing for IT services by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/contact-us/hero.png
5,services/backup-disaster-recovery,images/services/backup-disaster-recovery,Backup and disaster recovery solutions for businesses,"Professional photo representing backup disaster recovery - Backup and disaster recovery solutions for businesses by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/services/backup-disaster-recovery/hero.png
6,services/business-it-services,images/services/business-it-services,Business IT services and managed IT support,"Professional photo of IT professionals providing business it services - Business IT services and managed IT support in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/hero.png
7,services/cloud-migration,images/services/cloud-migration,Cloud migration services - moving business to the cloud,"Professional photo representing cloud migration - Cloud migration services - moving business to the cloud by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/services/cloud-migration/hero.png
8,services/computer-networking,images/services/computer-networking,Computer networking setup and configuration,"Professional photo of network infrastructure - computer networking - Computer networking setup and configuration. Server rack, ethernet cables, network switches. Blue LED lighting. Clean, organized data center. No text, no logos, no watermarks.",images/services/computer-networking/hero.png
9,services/computer-repair,images/services/computer-repair,Computer repair services - desktop and PC repair,"Professional photo of a technician repairing a computer repair - Computer repair services - desktop and PC repair in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/hero.png
10,services/computer-repair/computer-diagnostics,images/services/computer-repair/computer-diagnostics,Computer diagnostics and troubleshooting,"Professional photo of a technician repairing a computer diagnostics - Computer diagnostics and troubleshooting in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/computer-diagnostics/hero.png
11,services/computer-repair/custom-pc-build,images/services/computer-repair/custom-pc-build,Custom PC building service,"Professional photo of a technician repairing a custom pc build - Custom PC building service in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/custom-pc-build/hero.png
12,services/computer-repair/desktop-repair,images/services/computer-repair/desktop-repair,Desktop computer repair,"Professional photo of a technician repairing a desktop repair - Desktop computer repair in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/desktop-repair/hero.png
13,services/computer-repair/gaming-computer-repair,images/services/computer-repair/gaming-computer-repair,Gaming computer repair and optimization,"Professional photo of a technician repairing a gaming computer repair - Gaming computer repair and optimization in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/gaming-computer-repair/hero.png
14,services/computer-repair/hardware-repair,images/services/computer-repair/hardware-repair,Computer hardware repair and replacement,"Professional photo of a technician repairing a hardware repair - Computer hardware repair and replacement in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/hardware-repair/hero.png
15,services/computer-repair/linux-repair,images/services/computer-repair/linux-repair,Linux computer repair and support,"Professional photo of a technician repairing a linux repair - Linux computer repair and support in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/linux-repair/hero.png
16,services/computer-repair/motherboard-repair,images/services/computer-repair/motherboard-repair,Motherboard repair and replacement,"Professional photo of a technician repairing a motherboard repair - Motherboard repair and replacement in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/motherboard-repair/hero.png
17,services/computer-repair/password-recovery,images/services/computer-repair/password-recovery,Computer password recovery service,"Professional photo of a technician repairing a password recovery - Computer password recovery service in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/password-recovery/hero.png
18,services/computer-repair/pc-upgrade,images/services/computer-repair/pc-upgrade,"PC upgrade service - RAM, SSD, GPU upgrades","Professional photo of a technician repairing a pc upgrade - PC upgrade service - RAM, SSD, GPU upgrades in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/pc-upgrade/hero.png
